,text,aspect,label
3526,you have not supplied milk on 24 th last month.,milk,0
268,it is very inconvinient to work with web-links or email addresses stored in notion such as to copy from there to paste somewhere else.,Notion,0
1335,"however, the url for that has been used, i.e. what protection do you offer?",URL,1
1678,"but i have a suggestion, please try to make a widget for this!",widget,0
1883,@kent_boogaart @notionhq is the desktop app normally so much better than their web app?,Web,1
423,copy/paste a whole list of to-dos from @todoist or.,LIST,1
244,app.this is the app which i was looking for.,app,2
3103,very good & prompt service keep it up dy'oedy',service,0
2063,maintain time schedule of early delivery do not make excuses,delivery,0
1786,"also, on our youtube channels, we have some videos which might be helpful for marketing.",youtube,1
1094,kindly share the relevant guides or tutorials for the same.,tutorials,1
2136,@notionhq can i use the sum of a column in table a as a value for a column in table b?,Table,1
2609,clearly the best note taking app I have ever used.,app,2
1822,i stick to raw text files.,text,0
266,the name was class notes i think,notes,1
527,prompt delivery and availability of products.,availability of products.,2
1652,"yes, we have an option for you to add team members - so you can add your students as editors and you be the admin, so the editors can only access their own work, and you being the admin can access everyone is",access,1
3636,timely delivery and availability of stocks,delivery,0
93,Super useful relational database.,database,2
607,i love this app .,app,2
2109,"The latest update brought brakes, freezes to the app and pain to users.",update,0
3828,one journal by @dayoneapp 3.,Journal,1
3089,very bad service & not delivered at all many times,service,0
2197,great app - the best productivity app.,app,2
805,I don’t understand why we can’t get notifications about release time.,get notifications,0
126,absolutely phenomenal this is app is.i freaking love this app so much.i might join this company one day.,app,0
3268,"I need color... is there a way to color code task, assignments... something?",task,1
1321,The monthly pricing is high.,pricing,0
2198,Still no 2FA for standalone accounts.,accounts,1
1147,(i do not have apple stuff.),Apple,1
1542,i want to cancel and request a refund.,cancel,1
2700,"hi, how can i add a plain black overlay to my project?",project?,1
1638,does not appear on the editing page,editing,0
1881,hi i would like to come back but is a bit expensive,expensive,0
2563,application is super slow on offline mode.,Application,0
3789,desktop and web works great but the app is very slow to load.,Desktop,2
869,Ideal for remote and multi-member projects.,projects,1
3943,@notionstatus thank you @notionhq for getting us up as fast as you could!,fast,2
82,time maintenance and hard working of your team,Time maintenance,2
3764,when editing a story for instagram or pinterest they are small,Pinterest,0
3875,improvement needs in your delivery team,Delivery,0
696,i have used my mentorship code and tried to check out with 3 different cards,cards,1
1522,"(page permissions, workspace name, page name, keywords, urls, alternate emails, web sessions, login method) - page url: - web sessions on this account: 1 - support access granted.",URL,1
2442,need to introduce offers and daily basis discounts to boost business like milkbasket,offers,0
250,letting us know in advance if you be able to deliver milk or not.,milk,0
583,"look this is a great app, but you need to work on two things: 1.","app,",2
1340,"unfortunately, the bigger your blocks you have, the heavier it loads.. this issue still persists for months.. while the desktop or web version has no issue..",web version,2
2733,ease of ordering timely deliveries excellent customer support,ordering,2
838,It would be perfect if they let voice notes and have a version for smartwatch,notes,1
1308,prompt service.,service.,2
2493,"@angezanetti @airtable @notionhq @gumroad I would add: - tweet about all interesting things you learn
- connect with.",learn,2
2383,We used to be able to swipe a task to the left to show options to assign a new date and delete.  They removed it in recent versions and now you have to enter into each item to make updates. Very inconvenient. Deleting a task now takes 4 button presses.  Please revert.,Deleting,0
3564,I haven't been able to open it since my phone.,phone,0
200,"you can increase your stock as most of the time when we are in need of anything like milk even, it is out of stock so what is the meaning of order things till 11 pm",milk,0
724,"if you are willing to pay atleast for the yearly unlimited plan, i can even make it possible to get you the lifetime plan for unlimited",unlimited,2
794,"quick, efficient and prompt service","Quick,",2
2925,stop charging delivery fee on the milk packets.,delivery fee,0
2468,"Switch to other project, cash app and don't do actions on app 😥",project,1
2830,It is sufficient for design and process management.,process,1
3507,i want to know if my current plan is paid,plan,1
2523,unfortunately the app is not so fast which is annoying when you quickly want to write something down.,app,0
106,the notion website application is awesome but i find the app to be not so easy to use.,notion website application,2
