,text,aspect,label
2762,Airtable brings together a spreadsheet (eg Excel) combined with a database (eg Access) into one format.,Excel,1
137,"also, widgets!",WIDGETS!,0
3106,looking in to more on delivery timing as well as assured the delivery.,delivery timing,0
2101,notifying us once you delivered the products.,the,0
928,+ aesthetic database text + tiled header (more r.,database,2
193,"every time i try to edit a page or create a link, the tools or keyboard flash up for half a second and close back down.",edit,0
953,they may as well wrap the website because it is literally faster and more usable than this app.,app.,0
2740,"just to confirm, can you log in to the website?",log in,1
2298,"milk sending expiry day not even one day before expiry milk, 3times milk got spoiled.",Milk,0
448,"best app for daily tasks, notes and scheduling.",notes,2
129,so i will need to swap to monthly or can i upgrade to annual after i pay ?,pay,2
2076,and i can not so I am a bit dissappointed.,app,2
445,It needs better performance improvement.,performance,1
60,i can not open the file..,file,0
3080,"Am failing to log in, and we paid specifically to be using it on mobile, very bad.",mobile,0
1942,"Download it and just tell me that asana keeps failing, nor let me know it app lousy service, thank you!",Download,0
1591,@notionhq gratitude journal self-care tips,journal,2
1239,hey there i was charged about $100 lately for a full years subsription i would like to get a refund.,refund.,1
951,servoce charge as per no of deliveries made and not as per no of products.,deliveries,0
2645,very punctual and regular.,punctual,2
1449,how can i grant the support access if my account was deleted?,support,1
3215,"my business partner is unable to utilize the ""move to"" tool in our shared notion.",shared,1
2237,"this occurs on both web browser and mobile app, logging into notion on a different browser session results in the same thing.",web,0
3524,You can use a template or make it from scratch.,template,1
768,"Serious crash on My iPad (iOS 12), can not use it",Serious crash,0
710,offline mode please .and,Offline mode,0
1577,features access to 3500+ curated templates full access to image library full access to standard video library 120 istock images and videos free access to creator club's (premium) templates,images,2
299,"Compared to Microsoft Access this thing is a toy,  too many pictures and not enough function.  ",many pictures,0
955,reinstalled three times.,Reinstalled,2
453,we would love to be able to calculate total time at the bottom of this column,column,1
3098,but yet not got the super daily delivery bag.,Delivery bag.,0
2886,"You won't be able to sign in because it searches Google accounts on your phone and not via browser, like other apps, and what's more, in the app you don't have the option to sign in without sharing your contacts",sharing,1
2624,"- Dark Mode
- Apple Watch App
- Widgets
",Dark Mode,1
255,i have a problem with the password,password,0
1744,Would definitely recommend o anyone wanting to keep track of a wide range of things.,recommend,2
3189,i love notion but the app is terrible.,Notion,2
802,"@simonw @joshu move those recipes over to @notionhq, @evernote has gotten horrible over the past couple years.",recipes,0
3708,am i able to split a clip into two scenes when it is on the timeline?,scenes,1
85,"best productivity tools
 1.",Productivity,2
1720,i would like to know how of add multiple audio leyers,audio,1
411,"As much the site deserves the 5 stars as much the application sorely lacks flexibility.
",flexibility,0
2671,Mobile app is not fully compatable loke web/Desktop app... Need export option for my table,table,1
2205,"@visualstudio in 2022, top languages put to the t.",languages,1
1357,"i like the concept of this app so much I am putting all my notes, reviewers and sources for my upcoming board exam in here.",sources,2
3888,"okay i see a free 14 day trial for business and unlimited plans, so",unlimited,0
2031,"i just got one link to embed, but you cannot edit the document.",edit,0
2218,support everyone and increase salaries,everyone and,0
2684,delivery charges should be removed.,Delivery Charges,0
426,no invideo branding or watermark 1080p resolution custom font uploads make videos in any language,font,2
